"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-09-22 ~ 2025-09-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 용인시 수지구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 용인시 수지구 풍덕천동","699","0699","0000","한국","62.2600","202509","18","76,000","-","4","개인","개인","1995","정평로 116","-","중개거래","경기 용인시 수지구","-"
"2","경기도 용인시 수지구 죽전동","339","0339","0000","도담마을죽전파크빌","59.6850","202509","17","48,000","-","1","개인","개인","1997","정든로 22","-","중개거래","경기 용인시 수지구","-"
"3","경기도 용인시 수지구 죽전동","1116","1116","0000","도담마을힐스테이트4차1단지","105.6250","202509","17","79,900","-","11","개인","개인","2003","푸른솔로 55","-","중개거래","경기 용인시 기흥구, 경기 용인시 수지구","-"
"4","경기도 용인시 수지구 동천동","911","0911","0000","동천마을영풍아파트","59.9700","202509","16","59,800","-","7","개인","개인","2003","신수로783번길 22","-","중개거래","경기 용인시 수지구","-"
"5","경기도 용인시 수지구 죽전동","1302","1302","0000","꽃메마을한라신영프로방스","148.8640","202509","16","110,000","-","8","개인","개인","2004","죽전로27번길 14-30","-","중개거래","경기 용인시 기흥구","-"
"6","경기도 용인시 수지구 상현동","99","0099","0000","벽산블루밍","84.9600","202509","16","71,000","-","3","개인","개인","1998","수지로 68","-","중개거래","경기 용인시 수지구","-"
"7","경기도 용인시 수지구 죽전동","1003-8","1003","0008","현암마을동성2차","84.9900","202509","15","76,900","-","2","개인","개인","1999","용구대로 2720","-","중개거래","경기 용인시 수지구","-"
"8","경기도 용인시 수지구 죽전동","454","0454","0000","더리버하임","59.9400","202509","15","64,800","-","7","개인","개인","1999","대지로 19","-","중개거래","경기 용인시 수지구","-"
"9","경기도 용인시 수지구 상현동","867","0867","0000","성복역금호베스트빌","151.1100","202509","15","84,300","-","19","개인","개인","2002","심곡로 16","-","중개거래","경기 용인시 수지구","-"
"10","경기도 용인시 수지구 상현동","30","0030","0000","진산마을성원상떼빌아파트","84.9600","202509","14","73,000","-","18","개인","개인","1998","진산로 24","-","중개거래","경기 용인시 수지구","-"
"11","경기도 용인시 수지구 동천동","914","0914","0000","동천디이스트","84.9110","202509","14","93,000","-","23","개인","개인","2007","동천로 64","-","중개거래","경기 용인시 수지구","-"
"12","경기도 용인시 수지구 상현동","168-1","0168","0001","광교현대프레미오","167.7400","202509","13","73,000","-","14","개인","개인","2001","수지로 41","-","중개거래","경기 용인시 수지구, 서울 동작구","-"
"13","경기도 용인시 수지구 상현동","1219","1219","0000","광교상현솔하임","25.8290","202509","13","23,900","-","13","개인","개인","2021","상현로 6","-","중개거래","경기 용인시 수지구","-"
"14","경기도 용인시 수지구 풍덕천동","698-2","0698","0002","한성","59.5400","202509","13","79,500","-","12","개인","개인","1995","문정로 55","-","중개거래","경기 용인시 수지구","-"
"15","경기도 용인시 수지구 풍덕천동","692-1","0692","0001","수지삼성2차","59.9985","202509","13","68,500","-","13","개인","개인","1995","수풍로 38","-","중개거래","경기 용인시 수지구","-"
"16","경기도 용인시 수지구 상현동","1134","1134","0000","광교자이더클래스","84.9870","202509","13","131,500","-","24","개인","개인","2012","광교마을로 62","-","중개거래","경기 용인시 수지구","-"
"17","경기도 용인시 수지구 죽전동","1329","1329","0000","성현마을우미이노스빌2차","59.9534","202509","12","54,800","-","6","개인","개인","2004","죽전로 143","-","중개거래","경기 용인시 기흥구","-"
"18","경기도 용인시 수지구 죽전동","1302","1302","0000","꽃메마을한라신영프로방스","148.8640","202509","12","109,000","-","8","개인","개인","2004","죽전로27번길 14-30","-","중개거래","경기 용인시 기흥구","-"
"19","경기도 용인시 수지구 죽전동","1304","1304","0000","꽃메마을힐스테이트(4차3단지)","84.9959","202509","12","77,000","-","17","개인","개인","2004","죽전로 87","20250912","중개거래","경기 용인시 기흥구, 경기 용인시 수지구","-"
"20","경기도 용인시 수지구 동천동","862","0862","0000","동천마을현대홈타운2차","84.9750","202509","12","83,000","-","7","개인","개인","2002","동천로63번길 10","-","중개거래","경기 용인시 수지구","-"
"21","경기도 용인시 수지구 상현동","824","0824","0000","광교쌍용포레듀엔","103.1937","202509","12","67,300","-","8","개인","개인","2001","상현로 27","-","중개거래","경기 용인시 수지구","-"
"22","경기도 용인시 수지구 성복동","753","0753","0000","버들치마을경남아너스빌1차","84.9362","202509","12","66,000","-","16","개인","개인","2007","성복1로 157","-","중개거래","경기 용인시 수지구","-"
"23","경기도 용인시 수지구 풍덕천동","1195","1195","0000","수지푸르지오월드마크","84.2600","202509","12","69,000","-","12","개인","개인","2013","포은대로 467","-","중개거래","경기 성남시 중원구, 경기 용인시 기흥구","-"
"24","경기도 용인시 수지구 풍덕천동","504-10","0504","0010","수지에듀파크(SUJI-EDUPARK)","84.8650","202509","12","73,000","-","18","개인","개인","1999","정평로13번길 20","-","중개거래","경기 용인시 수지구","-"
"25","경기도 용인시 수지구 죽전동","832-1","0832","0001","벽산블루밍2단지","59.9700","202509","12","78,000","-","13","개인","개인","1997","용구대로2771번길 66","-","중개거래","경기 용인시 수지구","-"
"26","경기도 용인시 수지구 죽전동","1115","1115","0000","도담마을롯데캐슬","123.6650","202509","12","73,500","-","12","개인","개인","2002","대지로 64","-","중개거래","경기 용인시 수지구","-"
"27","경기도 용인시 수지구 죽전동","1492","1492","0000","용인 죽전 효성해링턴 플레이스","59.5530","202509","12","54,750","-","10","개인","개인","2018","용구대로 2750","-","중개거래","경기 용인시 수지구","-"
"28","경기도 용인시 수지구 죽전동","1262","1262","0000","도담마을한양수자인","59.9756","202509","12","59,800","-","14","개인","개인","2004","푸른솔로 76","-","중개거래","경기 용인시 수지구","-"
"29","경기도 용인시 수지구 상현동","1","0001","0000","성복역리버파크","59.7600","202509","11","67,000","-","9","개인","개인","1998","포은대로 298","-","중개거래","경기 용인시 수지구, 서울 강동구","-"
"30","경기도 용인시 수지구 동천동","864","0864","0000","써니벨리","71.6570","202509","11","80,300","-","13","개인","개인","2004","손곡로 82","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구","-"
"31","경기도 용인시 수지구 상현동","30","0030","0000","진산마을성원상떼빌아파트","59.9900","202509","11","60,500","-","4","개인","개인","1997","진산로 24","-","중개거래","경기 용인시 수지구","-"
"32","경기도 용인시 수지구 상현동","1214","1214","0000","더샵수지포레","101.9994","202509","11","96,000","-","7","개인","개인","2019","만현로67번길 20","-","중개거래","경기 용인시 수지구","-"
"33","경기도 용인시 수지구 동천동","859","0859","0000","동천마을현대홈타운1차","84.9660","202509","11","88,000","-","3","개인","개인","2002","수지로 487","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구","-"
"34","경기도 용인시 수지구 신봉동","905","0905","0000","우남퍼스트빌","39.5619","202509","11","41,600","-","16","개인","개인","2004","신봉1로 27","-","중개거래","경기 용인시 수지구","-"
"35","경기도 용인시 수지구 풍덕천동","1167","1167","0000","진산마을삼성5차","83.8821","202509","11","102,000","-","2","개인","개인","2003","진산로 90","-","중개거래","경기 용인시 수지구","-"
"36","경기도 용인시 수지구 풍덕천동","1065","1065","0000","신정마을주공1","59.3900","202509","11","93,000","-","6","개인","개인","2000","풍덕천로 91","-","중개거래","경기 용인시 수지구","-"
"37","경기도 용인시 수지구 죽전동","1235","1235","0000","성현마을반도유보라","122.1400","202509","11","72,000","-","18","개인","개인","2004","죽전로193번길 35","-","중개거래","경기 성남시 수정구","-"
"38","경기도 용인시 수지구 신봉동","911","0911","0000","신봉마을자이2차","122.2470","202509","10","71,000","-","14","개인","개인","2005","신봉2로 72","-","중개거래","경기 용인시 수지구","-"
"39","경기도 용인시 수지구 풍덕천동","691","0691","0000","동부","59.6100","202509","10","62,700","-","8","개인","개인","1995","수지로 323","-","중개거래","경기 용인시 수지구, 서울 강남구","-"
"40","경기도 용인시 수지구 풍덕천동","1028","1028","0000","신정6단지(상록)공무원","84.9800","202509","10","88,800","-","20","개인","개인","2000","풍덕천로 33","-","중개거래","경기 용인시 수지구","-"
"41","경기도 용인시 수지구 죽전동","1110","1110","0000","대지마을죽전현대홈타운2차","79.9171","202509","10","69,000","-","16","개인","개인","2001","현암로 54","-","중개거래","경기 용인시 수지구","-"
"42","경기도 용인시 수지구 성복동","726","0726","0000","LG빌리지3","134.9930","202509","10","92,000","-","5","개인","개인","2002","성복2로 126","-","중개거래","경기 용인시 수지구","-"
"43","경기도 용인시 수지구 신봉동","905","0905","0000","우남퍼스트빌","59.9524","202509","10","74,000","-","15","개인","개인","2004","신봉1로 27","-","중개거래","경기 용인시 수지구","-"
"44","경기도 용인시 수지구 상현동","85-6","0085","0006","서원마을현대홈타운","59.9328","202509","10","73,700","-","15","개인","개인","2001","포은대로 231","-","중개거래","경기 용인시 수지구","-"
"45","경기도 용인시 수지구 상현동","1","0001","0000","성복역리버파크","59.7600","202509","10","67,000","-","12","개인","개인","1998","포은대로 298","-","중개거래","경기 용인시 수지구","-"
"46","경기도 용인시 수지구 상현동","1115","1115","0000","광교경남아너스빌","84.8280","202509","10","120,000","-","30","개인","개인","2011","광교마을로 2","-","중개거래","경기 용인시 수지구","-"
"47","경기도 용인시 수지구 신봉동","905","0905","0000","우남퍼스트빌","59.9524","202509","10","72,500","-","2","개인","개인","2004","신봉1로 27","-","중개거래","경기 용인시 수지구","-"
"48","경기도 용인시 수지구 신봉동","874","0874","0000","한일드림빌","84.8180","202509","10","60,000","-","4","개인","개인","2003","신봉1로48번길 29","-","중개거래","경기 용인시 수지구","-"
"49","경기도 용인시 수지구 동천동","BL-","0000","0000","동천센트럴자이","104.4908","202509","10","127,000","-","3","개인","개인","2019","고기로45번길 40-18","-","중개거래","경기 용인시 수지구","-"
"50","경기도 용인시 수지구 신봉동","965","0965","0000","수지신봉동도센트리움","69.7900","202509","09","60,500","-","24","개인","개인","2019","신봉3로 6","-","직거래","-","-"
"51","경기도 용인시 수지구 동천동","BL-","0000","0000","동천센트럴자이","84.9434","202509","09","118,000","-","23","개인","개인","2019","고기로45번길 40-18","-","중개거래","경기 용인시 수지구","-"
"52","경기도 용인시 수지구 죽전동","1303","1303","0000","꽃메마을힐스테이트(4차4단지)","84.9959","202509","09","85,500","-","9","개인","개인","2004","푸른솔로 20","-","중개거래","경기 용인시 기흥구","-"
"53","경기도 용인시 수지구 동천동","176-1","0176","0001","수지2풍림","59.9400","202509","09","58,000","-","14","개인","개인","1998","동천로 18","-","중개거래","경기 용인시 수지구","-"
"54","경기도 용인시 수지구 풍덕천동","1167","1167","0000","진산마을삼성5차","128.2078","202509","09","127,500","-","11","개인","개인","2003","진산로 90","-","중개거래","경기 용인시 수지구","-"
"55","경기도 용인시 수지구 풍덕천동","1195","1195","0000","수지푸르지오월드마크","84.2700","202509","09","70,500","-","16","개인","개인","2013","포은대로 467","-","중개거래","경기 용인시 기흥구","-"
"56","경기도 용인시 수지구 상현동","866","0866","0000","광교상떼빌파크뷰","164.2368","202509","09","84,800","-","18","개인","개인","2002","상현로 30-10","-","중개거래","경기 용인시 수지구, 서울 강남구","-"
"57","경기도 용인시 수지구 상현동","1204","1204","0000","광교레이크포레","84.9570","202509","09","71,000","-","7","개인","개인","2017","광교호수로 431","-","중개거래","경기 용인시 수지구","-"
"58","경기도 용인시 수지구 풍덕천동","1195","1195","0000","수지푸르지오월드마크","84.2700","202509","08","69,000","-","16","개인","개인","2013","포은대로 467","-","중개거래","경기 용인시 수지구","-"
"59","경기도 용인시 수지구 죽전동","1304","1304","0000","꽃메마을힐스테이트(4차3단지)","84.9959","202509","08","77,000","432","17","개인","개인","2004","죽전로 87","-","중개거래","경기 용인시 기흥구, 경기 용인시 수지구","25.09.12"
"60","경기도 용인시 수지구 죽전동","1329","1329","0000","성현마을우미이노스빌2차","59.9534","202509","08","55,800","-","14","개인","개인","2004","죽전로 143","-","중개거래","경기 성남시 분당구","-"
"61","경기도 용인시 수지구 동천동","BL-","0000","0000","동천센트럴자이","84.8152","202509","08","121,800","-","25","개인","개인","2019","고기로45번길 40-18","-","중개거래","경기 용인시 수지구","-"
"62","경기도 용인시 수지구 상현동","1108","1108","0000","광교마을46-2단지광교스타클래스","113.8170","202509","08","92,500","-","14","개인","개인","2011","법조로 252","-","중개거래","경기 용인시 수지구","-"
"63","경기도 용인시 수지구 상현동","838","0838","0000","동일스위트","144.5998","202509","08","77,000","-","14","개인","개인","2001","상현로42번길 46","-","중개거래","경기 용인시 기흥구, 경기 용인시 수지구","-"
"64","경기도 용인시 수지구 죽전동","1003-8","1003","0008","현암마을동성2차","60.0000","202509","08","65,000","-","6","개인","개인","1999","용구대로 2720","-","중개거래","경기 용인시 수지구","-"
"65","경기도 용인시 수지구 죽전동","1355","1355","0000","성현마을광명샤인빌","59.8372","202509","08","43,400","-","9","개인","개인","2005","디지털벨리로 5","-","중개거래","경기 용인시 수지구","-"
"66","경기도 용인시 수지구 상현동","96-1","0096","0001","풍산아파트","59.5800","202509","07","59,500","-","15","개인","개인","1997","수지로78번길 20","-","중개거래","경기 용인시 수지구","-"
"67","경기도 용인시 수지구 상현동","168-1","0168","0001","광교현대프레미오","121.5100","202509","07","72,500","-","7","개인","개인","2001","수지로 41","-","중개거래","경기 용인시 수지구","-"
"68","경기도 용인시 수지구 성복동","771","0771","0000","버들치마을성복힐스테이트1차","134.8590","202509","07","90,700","-","2","개인","개인","2011","성복1로 91","-","중개거래","경기 용인시 수지구","-"
"69","경기도 용인시 수지구 상현동","96-1","0096","0001","풍산아파트","59.5800","202509","06","59,900","-","15","개인","개인","1997","수지로78번길 20","-","중개거래","경기 용인시 수지구","-"
"70","경기도 용인시 수지구 상현동","96-1","0096","0001","풍산아파트","84.8700","202509","06","66,000","-","3","개인","개인","1997","수지로78번길 20","-","중개거래","경기 용인시 수지구","-"
"71","경기도 용인시 수지구 상현동","856","0856","0000","만현마을2단지아이파크","99.9125","202509","06","78,000","-","8","개인","개인","2002","만현로67번길 9","-","중개거래","경기 용인시 수지구","-"
"72","경기도 용인시 수지구 신봉동","905","0905","0000","우남퍼스트빌","39.5619","202509","06","42,500","-","8","개인","개인","2004","신봉1로 27","-","중개거래","경기 용인시 수지구, 서울 강남구","-"
"73","경기도 용인시 수지구 신봉동","905","0905","0000","우남퍼스트빌","59.9524","202509","06","75,000","-","8","개인","개인","2004","신봉1로 27","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구","-"
"74","경기도 용인시 수지구 풍덕천동","700-1","0700","0001","현대","84.5100","202509","06","83,000","-","4","개인","개인","1994","수지로342번길 18","-","중개거래","경기 용인시 수지구","-"
"75","경기도 용인시 수지구 풍덕천동","698-2","0698","0002","한성","59.5400","202509","06","79,800","-","14","개인","개인","1995","문정로 55","-","중개거래","경기 용인시 수지구","-"
"76","경기도 용인시 수지구 풍덕천동","1027","1027","0000","신정마을진흥","84.9900","202509","06","84,000","-","14","개인","개인","1999","풍덕천로 19","-","중개거래","경기 용인시 수지구","-"
"77","경기도 용인시 수지구 풍덕천동","1104","1104","0000","용인수지신정마을9단지","49.2600","202509","06","74,700","-","8","개인","개인","2000","풍덕천로 76","-","중개거래","경기 용인시 수지구","-"
"78","경기도 용인시 수지구 상현동","858","0858","0000","만현마을5단지아이파크","99.9125","202509","06","81,000","-","13","개인","개인","2002","만현로 79","-","중개거래","경기 용인시 수지구","-"
"79","경기도 용인시 수지구 상현동","859","0859","0000","만현마을1단지롯데캐슬","84.9460","202509","06","78,500","-","14","개인","개인","2002","만현로 25","-","중개거래","경기 용인시 수지구","-"
"80","경기도 용인시 수지구 상현동","866","0866","0000","광교상떼빌파크뷰","106.5200","202509","06","78,000","-","12","개인","개인","2003","상현로 30-10","-","중개거래","경기 용인시 수지구","-"
"81","경기도 용인시 수지구 풍덕천동","1065","1065","0000","신정마을주공1","59.3900","202509","06","95,000","-","19","개인","개인","2000","풍덕천로 91","-","중개거래","경기 용인시 수지구","-"
"82","경기도 용인시 수지구 풍덕천동","1065","1065","0000","신정마을주공1","59.3900","202509","06","87,000","-","6","개인","개인","2000","풍덕천로 91","-","중개거래","경기 용인시 수지구","-"
"83","경기도 용인시 수지구 신봉동","905","0905","0000","우남퍼스트빌","59.9524","202509","06","72,000","-","12","개인","개인","2004","신봉1로 27","-","중개거래","경기 용인시 수지구","-"
"84","경기도 용인시 수지구 풍덕천동","1028","1028","0000","신정6단지(상록)공무원","84.9800","202509","06","93,900","-","18","개인","개인","2000","풍덕천로 33","-","중개거래","경기 용인시 수지구","-"
"85","경기도 용인시 수지구 풍덕천동","692","0692","0000","보원","59.7210","202509","06","59,300","-","6","개인","개인","1994","수풍로 16","-","중개거래","경기 수원시 영통구, 경기 용인시 수지구","-"
"86","경기도 용인시 수지구 풍덕천동","691","0691","0000","동부","59.6100","202509","06","64,700","-","12","개인","개인","1995","수지로 323","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구","-"
"87","경기도 용인시 수지구 풍덕천동","1209","1209","0000","e편한세상수지","84.9210","202509","06","132,000","-","11","개인","개인","2017","포은대로313번길 7-10","-","중개거래","경기 용인시 수지구","-"
"88","경기도 용인시 수지구 풍덕천동","1186","1186","0000","정자뜰마을태영데시앙2차","84.6587","202509","06","109,000","-","10","개인","개인","2006","풍덕천로22번길 67","-","중개거래","경기 용인시 수지구, 인천 미추홀구","-"
